crossover_type,crossover_label,generation_zero_based,original_child_generation,lineage_edge_count,run_count,parent_choice,mean_distance,std_distance,median_distance,q25_distance,q75_distance
promoter_aligned_cut_and_splice,cut and splice,20,21,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,21,22,3,3,elite_parent,0.20465827383775917,0.3544785284763432,0.0,0.0,0.30698741075663877
promoter_aligned_cut_and_splice,cut and splice,22,23,3,3,elite_parent,0.20465827383775917,0.3544785284763432,0.0,0.0,0.30698741075663877
promoter_aligned_cut_and_splice,cut and splice,24,25,1,1,elite_parent,0.1363772172172132,,0.1363772172172132,0.1363772172172132,0.1363772172172132
promoter_aligned_cut_and_splice,cut and splice,25,26,1,1,elite_parent,0.6139748215132775,,0.6139748215132775,0.6139748215132775,0.6139748215132775
promoter_aligned_cut_and_splice,cut and splice,26,27,1,1,elite_parent,0.3894772537377996,,0.3894772537377996,0.3894772537377996,0.3894772537377996
promoter_aligned_cut_and_splice,cut and splice,27,28,3,3,elite_parent,0.0,0.0,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,29,30,2,2,elite_parent,0.0,0.0,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,31,32,2,2,elite_parent,0.30615810682903344,0.07073764811654171,0.30615810682903344,0.2811485714948362,0.3311676421632307
promoter_aligned_cut_and_splice,cut and splice,32,33,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,33,34,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,36,37,2,2,elite_parent,0.09290630905667625,0.13138936229797787,0.09290630905667625,0.04645315452833813,0.1393594635850144
promoter_aligned_cut_and_splice,cut and splice,37,38,2,2,elite_parent,0.0,0.0,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,38,39,3,3,elite_parent,0.0,0.0,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,39,40,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,40,41,2,2,elite_parent,0.0,0.0,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,43,44,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,44,45,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,45,46,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,46,47,3,3,elite_parent,0.10396387350820276,0.1800707110678712,0.0,0.0,0.15594581026230414
promoter_aligned_cut_and_splice,cut and splice,47,48,1,1,elite_parent,0.0,,0.0,0.0,0.0
promoter_aligned_cut_and_splice,cut and splice,49,50,3,3,elite_parent,0.0,0.0,0.0,0.0,0.0
