metric,experiment,run,crossover_type,crossover_label,n_generations,first_generation,last_generation,first_value,last_value,last_minus_first,slope_per_generation,intercept,r_value,r_squared,slope_p_value,slope_std_err
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,1,homologous_gene_block_recombination,homologous recombination,21,2,48,0.3180572265252326,0.2246384405668512,-0.0934187859583814,-0.005884833287696264,0.2810499548952362,-0.47751340823442545,0.22801905504365705,0.028588155866149784,0.0024841343674556907
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,2,homologous_gene_block_recombination,homologous recombination,17,1,43,0.4841310499438951,0.0,-0.4841310499438951,-0.006141233490744336,0.15034902840006586,-0.4455631806065108,0.19852654791219015,0.07306272914543245,0.0031859962139255105
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,3,homologous_gene_block_recombination,homologous recombination,17,1,37,0.505988949814461,0.0,-0.505988949814461,-0.009940655522598705,0.30110784178734906,-0.5242617671925228,0.274850400539827,0.030747243149713343,0.004169029933582293
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,4,homologous_gene_block_recombination,homologous recombination,13,6,35,0.9679547614478982,0.0,-0.9679547614478982,-0.01699692505003795,0.4152286016979089,-0.4926661608170892,0.24271994601424998,0.08717794991865938,0.009052104155163962
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,5,homologous_gene_block_recombination,homologous recombination,12,2,48,0.4527902492132116,0.0,-0.4527902492132116,-0.015055475142426143,0.5483477360358326,-0.7692867802147746,0.5918021502132149,0.0034426216617320085,0.003954044504043502
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,6,homologous_gene_block_recombination,homologous recombination,12,8,47,0.0,0.0,0.0,-0.0025515718522229375,0.10816272554813797,-0.25662899862762517,0.06585844293661765,0.4207237761687065,0.0030388440957958476
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,7,homologous_gene_block_recombination,homologous recombination,22,1,42,0.8574870708025867,0.0,-0.8574870708025867,-0.020898764019989684,0.6917468793356929,-0.7106001455121951,0.5049525668019528,0.00021044670183939084,0.004627044952269604
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,8,homologous_gene_block_recombination,homologous recombination,19,1,44,0.3472728444629077,0.0,-0.3472728444629077,-0.008692769876862863,0.3012822305392839,-0.7337201551274749,0.5383452660402859,0.00034959925452369663,0.001952369073002903
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,9,homologous_gene_block_recombination,homologous recombination,10,2,40,0.4026415048227091,0.125,-0.2776415048227091,-0.007093691496001573,0.27658407166248183,-0.5424425827488314,0.2942439555792228,0.10523235908039037,0.0038841932721195706
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,10,homologous_gene_block_recombination,homologous recombination,16,1,47,0.38139607098522,0.0,-0.38139607098522,-0.014457740914202356,0.5054153904491726,-0.807001237177267,0.6512509968056396,0.00015785058270320807,0.002827604778710225
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,1,promoter_aligned_cut_and_splice,cut and splice,7,2,36,0.0,0.0,0.0,-5.389797400694009e-05,0.039776704817121686,-0.005747126436781622,3.3029462280354226e-05,0.9902435362633671,0.004194010509098608
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,2,promoter_aligned_cut_and_splice,cut and splice,4,1,16,0.4229877667186733,0.3282591531867039,-0.09472861353196937,-0.017657749517098444,0.48908002284422347,-0.47399781899075805,0.22467393240799544,0.526002181009242,0.023194563482889344
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,3,promoter_aligned_cut_and_splice,cut and splice,3,2,8,0.7238230122664102,0.2657916423324117,-0.4580313699339985,-0.1124589378546483,1.219643709468071,-0.7677923007774651,0.5895050171331534,0.4427105421175278,0.09384349014770739
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,4,promoter_aligned_cut_and_splice,cut and splice,11,1,49,0.0,0.0,0.0,-0.010640623325409094,0.4696456356447095,-0.5636095822378943,0.3176557611903737,0.07096809638736508,0.005198394221074809
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,5,promoter_aligned_cut_and_splice,cut and splice,6,6,46,0.0,0.3118916205246083,0.3118916205246083,8.620816395311356e-05,0.17251729022345866,0.0070574702650219165,4.980788654166852e-05,0.9894139703613063,0.006107430408202166
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,6,promoter_aligned_cut_and_splice,cut and splice,8,1,46,1.1242281302693369,0.0,-1.1242281302693369,-0.01831155126032168,0.7447892787596107,-0.7580309198646497,0.5746108754708469,0.02930121063632641,0.006432144351880788
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,7,promoter_aligned_cut_and_splice,cut and splice,10,3,49,0.0,0.0,0.0,-0.005620591779196355,0.3432551938052401,-0.27142474975720343,0.0736713947807605,0.44810053947456163,0.007046446224607522
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,8,promoter_aligned_cut_and_splice,cut and splice,11,1,38,1.2848369151340118,0.0,-1.2848369151340118,-0.019535390541017814,0.6016417976346634,-0.6355030440525293,0.40386411900003105,0.03561366884343462,0.007911445472963168
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,9,promoter_aligned_cut_and_splice,cut and splice,5,2,49,0.5049283620427176,0.0,-0.5049283620427176,-0.011675208305202538,0.49878183071865295,-0.7955403164614527,0.6328843951155884,0.10751178154397685,0.0051338507568453266
elite_lineage_parent_child_distance,flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,10,promoter_aligned_cut_and_splice,cut and splice,8,1,46,0.5504817018975018,0.0,-0.5504817018975018,-0.015070138448815358,0.5234956332763587,-0.7931144572868878,0.6290305423574746,0.01884476248340676,0.004724706422298094
