metric,crossover_type,crossover_label,generation_zero_based,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,41,10,0.01650788356410809,0.03177811482258277,0.0,0.0,0.01314829068498045,0.01314829068498045,0.0,0.091398130716968,-0.006224810332380291,0.039240577460596476
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,42,10,0.01711780412072977,0.03236184848924607,0.0,0.0,0.01314829068498045,0.01314829068498045,0.0,0.0878860237940085,-0.006032467685443223,0.04026807592690276
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,43,10,0.019508294426718892,0.03723241593573769,0.0,0.0,0.01314829068498045,0.01314829068498045,0.0,0.0990797305808395,-0.00712617143820966,0.04614276029164745
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,44,10,0.01934467546050836,0.036097081117405054,0.0,0.0,0.0095524356837232,0.0095524356837232,0.0,0.0921486080486253,-0.006477620801557539,0.04516697172257426
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,45,10,0.01748140642956338,0.03254546453622525,0.0,0.0,0.013926071498809426,0.013926071498809426,0.0,0.0824638076459959,-0.005800216383859878,0.04076302924298664
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,46,10,0.01707377836697501,0.02945757268489783,0.0,0.0,0.030274068475672725,0.030274068475672725,0.0,0.0824638076459959,-0.00399889968576651,0.038146456419716535
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,47,10,0.019092049598686527,0.03182682686946534,0.0,0.0,0.03593141354214292,0.03593141354214292,0.0,0.0824638076459959,-0.0036754907969423906,0.041859589994315445
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,48,10,0.016505833169290142,0.028592071231213653,0.0,0.0,0.025443757474915726,0.025443757474915726,0.0,0.0784721594397088,-0.003947702441446408,0.03695936878002669
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,49,10,0.013648467515414838,0.02528534317338959,0.0,0.0,0.013545992652530175,0.013545992652530175,0.0,0.0784721594397088,-0.004439577343050132,0.03173651237387981
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,0,10,0.2598048592436784,0.018388613637369104,0.257953144100712,0.2467748194100436,0.26728793575743454,0.020513116347390947,0.2368898707137055,0.2994321888744943,0.24665043748729276,0.27295928100006406
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,1,10,0.24578715293087786,0.019056447376098837,0.24998562960542053,0.23568924569305438,0.26071175947030156,0.02502251377724718,0.2041944430693665,0.2666943264358377,0.2321549916974638,0.2594193141642919
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,2,10,0.24577259615240282,0.020677810539924162,0.24187752928121295,0.23762118288171452,0.2511965195797121,0.013575336697997598,0.2114100829200642,0.2924120579955452,0.2309805815826892,0.26056461072211645
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,3,10,0.23476911454274693,0.025646954798141386,0.23035178607329035,0.22345645445348064,0.2435983195239183,0.020141865070437664,0.1991300329803244,0.2905228910873149,0.21642238831124302,0.2531158407742508
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,4,10,0.23325449742459062,0.0366992006683259,0.24374634518242844,0.22521431106178663,0.25603118758513016,0.030816876523343528,0.1702919543611485,0.2792953356628359,0.20700147078356443,0.25950752406561683
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,5,10,0.2292512965050512,0.03338425750943294,0.23773606180066237,0.21062837599053463,0.2519747175379817,0.04134634154744704,0.1634682136496672,0.2732160585260024,0.2053696373455793,0.25313295566452304
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,6,10,0.21855256007014273,0.037231328793549776,0.22617923790515865,0.20764480612857167,0.2475341498483006,0.03988934371972894,0.1362259681044466,0.2566844189409535,0.19191887189988605,0.24518624824039942
mean_pairwise_morphological_distance,homologous_gene_block_recombination,homologous recombination,7,10,0.22092436980036062,0.03601839459914914,0.23610558503207318,0.19784019327421748,0.2442244504049909,0.04638425713077343,0.1491009938199974,0.2596295900791827,0.19515836248253446,0.24669037711818678
