experiment,run,crossover_type,final_generation,final_best_robot_id,final_best_fitness,final_best_born_generation,child_id,parent_id,parent_choice,chosen_parent_slot,original_child_generation,generation_zero_based,step_from_final_best,distance
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,508,453,elite_parent,parent2,21,20,8,0.3785531259094322
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,536,508,elite_parent,parent2,22,21,7,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,560,536,elite_parent,parent1,23,22,6,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,674,560,elite_parent,parent2,27,26,5,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,692,674,elite_parent,parent2,28,27,4,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,715,692,elite_parent,parent2,29,28,3,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,745,715,elite_parent,parent2,30,29,2,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,821,745,elite_parent,parent2,33,32,1,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,50,842,37.166916996468814,34,842,821,elite_parent,parent1,34,33,0,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,73,1,elite_parent,parent1,3,2,10,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,98,73,elite_parent,parent2,4,3,9,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,148,98,elite_parent,parent2,6,5,8,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,161,148,elite_parent,parent1,7,6,7,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,187,161,elite_parent,parent2,8,7,6,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,259,187,elite_parent,parent2,11,10,5,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,326,259,elite_parent,parent2,14,13,4,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,374,326,elite_parent,parent2,15,14,3,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,447,374,elite_parent,parent1,18,17,2,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,693,447,elite_parent,parent1,28,27,1,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,50,792,19.93781117822467,32,792,693,elite_parent,parent1,32,31,0,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,158,1,elite_parent,parent1,7,6,9,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,234,158,elite_parent,parent2,10,9,8,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,464,234,elite_parent,parent1,19,18,7,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,542,464,elite_parent,parent2,22,21,6,0.827826095471545
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,697,542,elite_parent,parent2,28,27,5,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,738,697,elite_parent,parent2,30,29,4,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,864,738,elite_parent,parent2,35,34,3,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,50,1228,42.79343362040212,50,946,864,elite_parent,parent2,38,37,2,0.0
