metric,crossover_type,crossover_label,generation_zero_based,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,15,4,0.04760180112753415,0.0952036022550683,0.0,0.0,0.04760180112753415,0.04760180112753415,0.0,0.1904072045101366,-0.10388837499566317,0.19909197725073147
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,16,3,0.311416366859109,0.13089724838057326,0.2421610524189263,0.235928519778725,0.35227655671940167,0.11634803694067666,0.2296959871385237,0.462392061019877,-0.013750424219651614,0.6365831579378696
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,17,6,0.16716407111074041,0.19510142805649566,0.12108052620946315,0.0,0.2930346550591385,0.2930346550591385,0.0,0.4508308516396404,-0.03758232096427985,0.3719104631857607
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,21,4,0.046071176496035975,0.09214235299207195,0.0,0.0,0.046071176496035975,0.046071176496035975,0.0,0.1842847059841439,-0.10054786892387288,0.19269022191594484
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,24,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elite_lineage_parent_child_distance,homologous_gene_block_recombination,homologous recombination,27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
