metric,response_column,crossover_type,crossover_label,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
bone_prop,bone_prop_population_mean,homologous_gene_block_recombination,homologous recombination,10,0.15420000000000003,0.11360316896988393,0.18600000000000003,0.0375,0.2456,0.2081,0.0,0.28759999999999997,0.0729331885392966,0.23546681146070347
bone_prop,bone_prop_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,0.16584,0.1474753704483867,0.1406,0.0553,0.2484,0.1931,0.0,0.4276,0.06034247529183266,0.2713375247081673
fat_count,fat_count_population_mean,arithmetic_recombination,arithmetic recombination,10,3.268,2.8549559249370797,2.96,2.0,3.9299999999999997,1.9299999999999997,0.0,9.96,1.2256875629060464,5.310312437093954
fat_count,fat_count_population_mean,homologous_gene_block_recombination,homologous recombination,10,1.092,1.9607753568422877,0.0,0.0,1.0,1.0,0.0,6.0,-0.3106541925387496,2.49465419253875
fat_count,fat_count_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,1.268,1.9177811252706718,0.24,0.0,1.65,1.65,0.0,4.96,-0.1038979720678701,2.63989797206787
fat_prop,fat_prop_population_mean,arithmetic_recombination,arithmetic recombination,10,0.25312,0.19762553141400194,0.2138,0.1538,0.3396,0.18580000000000002,0.0,0.56,0.11174721131044674,0.3944927886895533
fat_prop,fat_prop_population_mean,homologous_gene_block_recombination,homologous recombination,10,0.07724,0.12842325161572402,0.0,0.0,0.11480000000000001,0.11480000000000001,0.0,0.396,-0.014628459928193005,0.169108459928193
fat_prop,fat_prop_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,0.07712,0.10360554253728149,0.0184,0.0,0.1132,0.1132,0.0,0.2704,0.0030050596509926947,0.1512349403490073
phase_muscle_count,phase_muscle_count_population_mean,arithmetic_recombination,arithmetic recombination,10,5.023999999999999,2.5004319626816485,4.6,3.0,6.0,3.0,2.0,9.08,3.235298727631138,6.8127012723688605
phase_muscle_count,phase_muscle_count_population_mean,homologous_gene_block_recombination,homologous recombination,10,6.624,3.6070153867151715,6.08,4.5,8.5,4.0,2.0,13.04,4.043696633236114,9.204303366763884
phase_muscle_count,phase_muscle_count_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,6.436,2.337212014345297,5.92,5.029999999999999,8.01,2.9800000000000004,3.04,10.96,4.76405924486277,8.10794075513723
