experiment,crossover_type,run,first_child_generation,last_child_generation,morph_distance_first_mean,morph_distance_last_mean,morph_distance_last_minus_first,shape_distance_first_mean,shape_distance_last_mean,shape_distance_last_minus_first,occupied_union_material_distance_first_mean,occupied_union_material_distance_last_mean,occupied_union_material_distance_last_minus_first,material_substitution_distance_first_mean,material_substitution_distance_last_mean,material_substitution_distance_last_minus_first,trait_profile_distance_first_mean,trait_profile_distance_last_mean,trait_profile_distance_last_minus_first
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,1,2,50,0.18482507885633218,0.058392531689956395,-0.12643254716637578,0.2962962962962963,0.1111111111111111,-0.18518518518518517,0.7784147139410297,0.3037066742113406,-0.47470803972968906,0.4027863670720813,0.17808671108303462,-0.2246996559890467,0.3220955669569344,0.11170001505654338,-0.21039555190039105
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,2,2,50,0.19447300514222118,0.08795366069069191,-0.10651934445152927,0.32175925925925924,0.1111111111111111,-0.21064814814814814,0.8214335416898493,0.3283211951447245,-0.49311234654512476,0.5155829124579124,0.19995959595959595,-0.3156233164983165,0.30522700627831834,0.1468912183231999,-0.15833578795511843
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,3,2,50,0.21469365211955938,0.09735328013873523,-0.11734037198082414,0.26620370370370366,0.17708333333333334,-0.08912037037037032,0.7931827695092855,0.3140527461576312,-0.4791300233516543,0.31357727920227924,0.15908256278322067,-0.15449471641905857,0.2971368035256924,0.14195559042391287,-0.1551812131017795
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,4,2,50,0.21529590421180225,0.14153911065038371,-0.07375679356141854,0.26967592592592593,0.08666666666666666,-0.18300925925925926,0.7766747808291926,0.3444047619047619,-0.43227001892443073,0.41303661616161613,0.086,-0.32703661616161617,0.3224701746432167,0.19371786333324792,-0.12875231130996878
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,5,2,50,0.22852605988170002,0.04706699874601167,-0.18145906113568835,0.33,0.07666666666666666,-0.25333333333333335,0.862193211950501,0.1850471097529921,-0.6771461021975089,0.4866971916971917,0.07619047619047618,-0.4105067155067155,0.3547388378864785,0.07176270888488082,-0.28297612900159763
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,6,2,50,0.17999150133080655,0.08221523132900291,-0.09777627000180364,0.3587962962962963,0.09666666666666666,-0.2621296296296296,0.8207753220550426,0.2577826617826618,-0.5629926602723807,0.4916990893093834,0.07866666666666665,-0.4130324226427167,0.31905846822794537,0.1279315334641071,-0.19112693476383827
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,7,2,50,0.2014097951041943,0.1491152344254175,-0.0522945606787768,0.2210648148148148,0.18333333333333335,-0.03773148148148145,0.7521688808373591,0.37700066889632106,-0.37516821194103805,0.4325727513227513,0.22393654171915042,-0.20863620960360088,0.2969543908016234,0.17616259186376976,-0.12079179893785363
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,8,2,50,0.199021041716688,0.10147583602428964,-0.09754520569239836,0.3138888888888889,0.13555555555555554,-0.17833333333333334,0.8069803004013532,0.3259706718402371,-0.48100962856111606,0.3737509018759019,0.12409523809523809,-0.24965566378066378,0.2934537175060824,0.14798763894329137,-0.14546607856279103
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,9,2,50,0.18167460849183595,0.06857566096889428,-0.11309894752294167,0.2858796296296296,0.08444444444444443,-0.20143518518518516,0.793263270088297,0.24743772893772892,-0.5458255411505681,0.42896825396825394,0.050777777777777776,-0.3781904761904762,0.2944376787191685,0.07168921861614168,-0.2227484601030268
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,homologous_gene_block_recombination,10,2,50,0.14406424173656945,0.07012055948231989,-0.07394368225424956,0.23,0.038888888888888876,-0.19111111111111112,0.6533652803812651,0.17234632034632036,-0.4810189600349447,0.2999469941822883,0.026666666666666665,-0.27328032751562165,0.24398196932660635,0.09916511266511266,-0.1448168566614937
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,1,2,50,0.15552671340331592,0.21502630189994376,0.05949958849662784,0.3113425925925926,0.31777777777777777,0.006435185185185155,0.7525836425055789,0.6475429403349178,-0.10504070217066108,0.3897982804232804,0.26116550116550113,-0.12863277925777927,0.2678110306736106,0.2619441575328148,-0.005866873140795814
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,2,2,50,0.19924996818303722,0.13194639409111067,-0.06730357409192655,0.28743961352657005,0.12499999999999999,-0.16243961352657005,0.7547059006838397,0.48052959771709775,-0.27417630296674195,0.3289855072463768,0.25676256613756615,-0.07222294110881067,0.30858888000050216,0.2105543536373368,-0.09803452636316537
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,3,2,50,0.19092467594020668,0.19219632361516228,0.001271647674955606,0.20707070707070707,0.26967592592592593,0.06260521885521886,0.6654965067151587,0.7359752584266315,0.07047875171147278,0.25327273736364647,0.47730070855070855,0.22402797118706208,0.2647093784223695,0.30356650931217366,0.03885713088980414
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,4,2,50,0.15348433031977637,0.17960240291427984,0.026118072594503466,0.25,0.2572463768115942,0.00724637681159418,0.6929623149155938,0.6195917907790299,-0.07337052413656386,0.38430735930735926,0.22660021138282005,-0.15770714792453921,0.25712326681512515,0.2563906103836138,-0.0007326564315113249
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,5,2,50,0.21765869802834195,0.1552362896776318,-0.06242240835071014,0.2689393939393939,0.1909722222222222,-0.07796717171717171,0.7872835831726206,0.5513547216672217,-0.23592886150539893,0.38369273329166376,0.31549676494529433,-0.06819596834636943,0.29621931196899004,0.2145875302976351,-0.08163178167135493
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,6,2,50,0.17512769450447307,0.17935160922857754,0.004223914724104466,0.24537037037037035,0.2604166666666667,0.015046296296296335,0.7432554557012762,0.6496532896784445,-0.09360216602283167,0.3742063492063492,0.32130531505531507,-0.05290103415103414,0.30560851490630453,0.25745155277384996,-0.04815696213245457
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,7,2,50,0.21205472188381297,0.2597215180179839,0.04766679613417091,0.28985507246376807,0.14555555555555555,-0.14429951690821252,0.7069055385158699,0.5746812076812077,-0.13222433083466223,0.34568764568764565,0.05266666666666667,-0.293020979020979,0.3163066463319833,0.20836121286121284,-0.10794543347077046
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,8,2,50,0.26014803643509876,0.18603209297650714,-0.07411594345859163,0.31691919191919193,0.23941798941798942,-0.07750120250120252,0.774455568126167,0.5243922322597271,-0.2500633358664399,0.34716492657669124,0.30886545351383915,-0.038299473062852085,0.3304080658535049,0.2657681364937344,-0.06463992935977053
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,9,2,50,0.24221178501917212,0.23941484667243293,-0.0027969383467391917,0.30952380952380953,0.19791666666666666,-0.11160714285714288,0.8131117589554122,0.5383680987046583,-0.2747436602507539,0.4204957740672026,0.17857142857142858,-0.24192434549577405,0.3095342976395761,0.2583640043169664,-0.051170293322609695
flat_promoter_aligned_cut_and_splice_25pop_25off_50gen_1000steps,promoter_aligned_cut_and_splice,10,2,50,0.15212603506895664,0.19112540313569182,0.03899936806673518,0.2753623188405797,0.25,-0.025362318840579712,0.7094545491301447,0.6487858853841746,-0.06066866374597013,0.4474796942188246,0.2722745508459794,-0.1752051433728452,0.2628988840601794,0.2833177092109588,0.020418825150779363
