experiment,run,crossover_type,crossover_label,generation,generation_zero_based,population_size,metric_count,distance_matrix_average,mean_pairwise_morphological_distance
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,1,0,25,8,full_n_by_n_with_diagonal,0.2842629205797829
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,2,1,25,8,full_n_by_n_with_diagonal,0.2729886388891301
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,3,2,25,8,full_n_by_n_with_diagonal,0.2535491700249127
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,4,3,25,8,full_n_by_n_with_diagonal,0.22756136614978387
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,5,4,25,8,full_n_by_n_with_diagonal,0.2295117752942323
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,6,5,25,8,full_n_by_n_with_diagonal,0.22587650867992934
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,7,6,25,8,full_n_by_n_with_diagonal,0.2167466997372681
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,8,7,25,8,full_n_by_n_with_diagonal,0.21819325689435137
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,9,8,25,8,full_n_by_n_with_diagonal,0.269011282724955
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,10,9,25,8,full_n_by_n_with_diagonal,0.2560209617560138
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,11,10,25,8,full_n_by_n_with_diagonal,0.22443487974770915
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,12,11,25,8,full_n_by_n_with_diagonal,0.22443487974770915
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,13,12,25,8,full_n_by_n_with_diagonal,0.2250722150600417
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,14,13,25,8,full_n_by_n_with_diagonal,0.22708524425736465
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,15,14,25,8,full_n_by_n_with_diagonal,0.23765206629686164
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,16,15,25,8,full_n_by_n_with_diagonal,0.24237666807731484
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,17,16,25,8,full_n_by_n_with_diagonal,0.19156880903205853
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,18,17,25,8,full_n_by_n_with_diagonal,0.20511815510716197
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,19,18,25,8,full_n_by_n_with_diagonal,0.20240224587177125
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,20,19,25,8,full_n_by_n_with_diagonal,0.2016679517314401
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,21,20,25,8,full_n_by_n_with_diagonal,0.2117009636922904
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,22,21,25,8,full_n_by_n_with_diagonal,0.19655067921398225
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,23,22,25,8,full_n_by_n_with_diagonal,0.2057412234728554
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,24,23,25,8,full_n_by_n_with_diagonal,0.19973620696611008
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,25,24,25,8,full_n_by_n_with_diagonal,0.19270364618422678
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,26,25,25,8,full_n_by_n_with_diagonal,0.17664589430938413
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,27,26,25,8,full_n_by_n_with_diagonal,0.14462480061041505
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,28,27,25,8,full_n_by_n_with_diagonal,0.1261935920110634
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,29,28,25,8,full_n_by_n_with_diagonal,0.057799359510210625
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,30,29,25,8,full_n_by_n_with_diagonal,0.05818385659476887
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,31,30,25,8,full_n_by_n_with_diagonal,0.057763746326047874
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,32,31,25,8,full_n_by_n_with_diagonal,0.05976854214861678
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,33,32,25,8,full_n_by_n_with_diagonal,0.02991704253631475
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,34,33,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,35,34,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,36,35,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,37,36,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,38,37,25,8,full_n_by_n_with_diagonal,0.0
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,39,38,25,8,full_n_by_n_with_diagonal,0.0
