crossover_type,crossover_label,generation_zero_based,run_count,mean_population_size,mean_pairwise_morphological_distance,std_pairwise_morphological_distance,q25_pairwise_morphological_distance,q75_pairwise_morphological_distance
promoter_aligned_cut_and_splice,cut and splice,5,10,25.0,0.26057699874685175,0.021398019719388563,0.23906675307158165,0.2722723150139285
promoter_aligned_cut_and_splice,cut and splice,6,10,25.0,0.26175751588131657,0.021109446072165156,0.24769036656335602,0.27230852769121877
promoter_aligned_cut_and_splice,cut and splice,7,10,25.0,0.25956030022499743,0.01785295636368428,0.24600509231040446,0.27129800523013636
promoter_aligned_cut_and_splice,cut and splice,8,10,25.0,0.2530701478960358,0.02763815099059934,0.23240950582799513,0.2787978211485097
promoter_aligned_cut_and_splice,cut and splice,9,10,25.0,0.24933442494244934,0.0275279450931342,0.23632313187343443,0.26548360184219777
promoter_aligned_cut_and_splice,cut and splice,10,10,25.0,0.24493704059020688,0.03469254366171474,0.22461021633660855,0.2653421931939425
promoter_aligned_cut_and_splice,cut and splice,11,10,25.0,0.24082681483045665,0.03918249008415306,0.22311702435447547,0.27220782507211183
promoter_aligned_cut_and_splice,cut and splice,12,10,25.0,0.2314097344710142,0.04213327726924464,0.19854754575814548,0.26696924748967865
promoter_aligned_cut_and_splice,cut and splice,13,10,25.0,0.2231679259673986,0.04968675009557912,0.1888499032036501,0.26856751902872417
promoter_aligned_cut_and_splice,cut and splice,14,10,25.0,0.20460578213768513,0.0700257516463164,0.17085508711930084,0.2613048258517787
promoter_aligned_cut_and_splice,cut and splice,15,10,25.0,0.19353439786557905,0.08502215197810908,0.14886000838937286,0.25997934894345404
promoter_aligned_cut_and_splice,cut and splice,16,10,25.0,0.18771171784703303,0.08177416834596987,0.1347216702496546,0.24708010633679472
promoter_aligned_cut_and_splice,cut and splice,17,10,25.0,0.18128402412588068,0.08363196824526442,0.11280957308690139,0.24306647678032
promoter_aligned_cut_and_splice,cut and splice,18,10,25.0,0.1693823888528991,0.08744396681571545,0.0904214373047525,0.23847744993606626
promoter_aligned_cut_and_splice,cut and splice,19,10,25.0,0.17030156534934254,0.08386880628183215,0.11038839427325663,0.23500740482876203
promoter_aligned_cut_and_splice,cut and splice,20,10,25.0,0.16770636695785796,0.08337576421905682,0.11071143861921928,0.2308411465234813
promoter_aligned_cut_and_splice,cut and splice,21,10,25.0,0.16656272741759257,0.07398710890939879,0.12604689116595125,0.22516208507711383
promoter_aligned_cut_and_splice,cut and splice,22,10,25.0,0.16507447456120738,0.07110849208717368,0.1322754888672904,0.2271886315414029
promoter_aligned_cut_and_splice,cut and splice,23,10,25.0,0.1691698971442527,0.06930522346404154,0.13855028647017636,0.23021859515603293
promoter_aligned_cut_and_splice,cut and splice,24,10,25.0,0.16676396890747375,0.06838933667557323,0.12233434011188553,0.2190560908825656
promoter_aligned_cut_and_splice,cut and splice,25,10,25.0,0.16567648979925867,0.06377866541519164,0.12129417477895602,0.2121115354021549
promoter_aligned_cut_and_splice,cut and splice,26,10,25.0,0.16226966859487474,0.06696578992374486,0.11545111944896644,0.22169731052482652
promoter_aligned_cut_and_splice,cut and splice,27,10,25.0,0.15908418475376113,0.0642327701973453,0.11275605602515047,0.21463691748187383
promoter_aligned_cut_and_splice,cut and splice,28,10,25.0,0.15106562843887955,0.07033770099242567,0.10007951438651924,0.2114204794043595
promoter_aligned_cut_and_splice,cut and splice,29,10,25.0,0.13996206943438713,0.07011081881995956,0.08085108182535852,0.19969590618491784
promoter_aligned_cut_and_splice,cut and splice,30,10,25.0,0.13922420921817585,0.070195678194371,0.0951373319723766,0.20022172119744613
promoter_aligned_cut_and_splice,cut and splice,31,10,25.0,0.13523723063699306,0.0696226436311313,0.09248693508700565,0.19192565649699214
promoter_aligned_cut_and_splice,cut and splice,32,10,25.0,0.1321456820060317,0.06947687922200128,0.09203603084821903,0.2008282937789243
promoter_aligned_cut_and_splice,cut and splice,33,10,25.0,0.12457156856099139,0.06927234483313505,0.07013898769413865,0.1925852143358682
promoter_aligned_cut_and_splice,cut and splice,34,10,25.0,0.12043773730524716,0.07264090222997628,0.06591654964032803,0.19650090850365756
promoter_aligned_cut_and_splice,cut and splice,35,10,25.0,0.1142801430286926,0.06915020526529919,0.06416982270765939,0.18482247061232548
promoter_aligned_cut_and_splice,cut and splice,36,10,25.0,0.10907859156177073,0.06946689001205233,0.04836002385889305,0.17214216146560107
promoter_aligned_cut_and_splice,cut and splice,37,10,25.0,0.10950207969462984,0.07063491703076184,0.0469885878409033,0.1739257520848792
promoter_aligned_cut_and_splice,cut and splice,38,10,25.0,0.1056430489657147,0.06906637646942689,0.04346730573506445,0.17225219100855965
promoter_aligned_cut_and_splice,cut and splice,39,10,25.0,0.09940984675155802,0.06541825989962126,0.04062854987116842,0.14828080375026018
promoter_aligned_cut_and_splice,cut and splice,40,10,25.0,0.09476560389202462,0.06833241182035575,0.03234398944587541,0.1466847906082216
promoter_aligned_cut_and_splice,cut and splice,41,10,25.0,0.0887199478786469,0.07234512817319656,0.022463484928335532,0.14360817814868726
promoter_aligned_cut_and_splice,cut and splice,42,10,25.0,0.08531735230367067,0.0694077615111742,0.021251486774179623,0.14360817814868726
promoter_aligned_cut_and_splice,cut and splice,43,10,25.0,0.08313361663650716,0.07358920698358141,0.019084001876876314,0.1414694857513204
promoter_aligned_cut_and_splice,cut and splice,44,10,25.0,0.07901761251085757,0.07676123744774987,0.01307945307624412,0.13546581045729336
promoter_aligned_cut_and_splice,cut and splice,45,10,25.0,0.07718954478243191,0.07741445085131095,0.005928298518800614,0.13629474439247896
promoter_aligned_cut_and_splice,cut and splice,46,10,25.0,0.07414628602705794,0.07728246242292329,0.004131844422194366,0.13645432110353317
promoter_aligned_cut_and_splice,cut and splice,47,10,25.0,0.07249455174411924,0.07688476982108686,0.006250889696866726,0.13645432110353317
promoter_aligned_cut_and_splice,cut and splice,48,10,25.0,0.07179191057618725,0.07564840668373045,0.006250889696866727,0.13559870978110952
promoter_aligned_cut_and_splice,cut and splice,49,10,25.0,0.06583522691440592,0.07305996674977654,0.006250889696866726,0.11288588473984522
