experiment,run,generation,genome_size_mean,genome_size_std,genome_size_max,displacement_mean,displacement_std,displacement_max,num_voxels_mean,num_voxels_std,num_voxels_max,bone_count_mean,bone_count_std,bone_count_max,bone_prop_mean,bone_prop_std,bone_prop_max,fat_count_mean,fat_count_std,fat_count_max,fat_prop_mean,fat_prop_std,fat_prop_max,fat2_count_mean,fat2_count_std,fat2_count_max,fat2_prop_mean,fat2_prop_std,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_std,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_std,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_std,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_std,offphase_muscle_prop_max,size_mean,size_std,size_max,symmetry_mean,symmetry_std,symmetry_max,number_of_limbs_mean,number_of_limbs_std,number_of_limbs_max,total_voxel_volume_mean,total_voxel_volume_std,total_voxel_volume_max,bounding_box_area_mean,bounding_box_area_std,bounding_box_area_max,morphological_density_mean,morphological_density_std,morphological_density_max,muscle_to_tissue_ratio_mean,muscle_to_tissue_ratio_std,muscle_to_tissue_ratio_max,actuation_energy_cost_mean,actuation_energy_cost_std,actuation_energy_cost_max,environmental_contact_area_mean,environmental_contact_area_std,environmental_contact_area_max,uniqueness_mean,uniqueness_std,uniqueness_max,fitness_mean,fitness_std,fitness_max,age_mean,age_std,age_max,dominated_disp_nov_mean,dominated_disp_nov_std,dominated_disp_nov_max,novelty_mean,novelty_std,novelty_max,novelty_weighted_mean,novelty_weighted_std,novelty_weighted_max
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,11,301.84,0.463033476111609,303.0,8.304480965206803,1.6927235286090279,14.856928391732783,9.04,3.7253724646000164,16.0,0.48,0.854166260162505,3.0,0.0536,0.0807900984032078,0.21,1.2,1.5491933384829668,5.0,0.134,0.16975276139138357,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.92,2.431789464571306,10.0,0.5344,0.1105650939492207,0.67,2.44,1.134195750300626,6.0,0.2776,0.07300849265667658,0.4,9.04,3.7253724646000164,16.0,0.5419999999999999,0.1732769138947508,0.8666666666666667,1.6,0.848528137423857,3.0,9.04,3.7253724646000164,16.0,13.76,4.958064138350774,30.0,0.6527777777777777,0.12515175972779197,0.8666666666666667,2.512,2.06287566275818,6.0,7.36,3.369035470279291,16.0,2.64,1.1959933110180843,6.0,0.0,0.0,0.0,8.304480965206803,1.6927235286090279,14.856928391732783,5.6,2.9933259094191533,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.304480965206803,1.6927235286090279,14.856928391732783
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,12,301.92,0.39191835884530846,303.0,8.500400358980924,1.6644751686971755,14.856928391732783,8.24,3.301878253358231,15.0,0.52,0.854166260162505,3.0,0.0604,0.08311341648614862,0.21,1.08,1.3541048703848606,5.0,0.1368,0.17349858789050704,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.48,2.2648620267027306,8.0,0.5296,0.10934276382093149,0.67,2.16,0.8333066662399864,4.0,0.2728,0.07236131563204197,0.4,8.24,3.301878253358231,15.0,0.516,0.17816845961056071,0.8666666666666667,1.76,0.7088018058667741,3.0,8.24,3.301878253358231,15.0,13.08,4.78263525684324,30.0,0.6296666666666667,0.1194553483395096,0.8666666666666667,2.6919999999999997,2.0612462249813825,6.0,6.64,2.9241067011995305,12.0,2.48,1.0244998779892558,5.0,0.0,0.0,0.0,8.500400358980924,1.6644751686971755,14.856928391732783,6.2,3.249615361854384,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.500400358980924,1.6644751686971755,14.856928391732783
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,13,301.92,0.39191835884530846,303.0,9.631560110187324,2.5114072146769506,18.463033156227343,7.4,2.8000000000000003,15.0,0.68,0.835224520712844,3.0,0.0876,0.08663855954481238,0.21,0.64,1.1620671237067162,5.0,0.0908,0.16331368589313022,0.56,0.0,0.0,0.0,0.0,0.0,0.0,3.92,1.874459922217597,8.0,0.5212,0.10226710125939818,0.67,2.16,0.6740919818541087,4.0,0.3,0.06368673331236263,0.4,7.4,2.8000000000000003,15.0,0.4871111111111111,0.1868697308188148,0.8666666666666667,2.0,0.565685424949238,3.0,7.4,2.8000000000000003,15.0,12.72,4.458878782833191,30.0,0.5831111111111111,0.09994109376138637,0.8666666666666667,3.072,2.2109762549606904,6.0,6.08,2.431789464571306,12.0,2.68,0.9682974749528164,5.0,0.0,0.0,0.0,9.631560110187324,2.5114072146769506,18.463033156227343,5.24,3.6691143345499606,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.631560110187324,2.5114072146769506,18.463033156227343
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,14,301.96,0.34409301068170506,303.0,10.331238459653239,2.625203533159895,18.463033156227343,7.08,2.7410946718418905,15.0,0.84,0.783836717690617,3.0,0.1148,0.08139385726208091,0.21,0.2,0.48989794855663565,2.0,0.027600000000000003,0.08291103665978372,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.88,1.7508854902591433,8.0,0.54,0.06687301398920195,0.67,2.16,0.5425863986500215,4.0,0.3176,0.05623379766652791,0.4,7.08,2.7410946718418905,15.0,0.4497777777777777,0.16768930706429583,0.8666666666666667,2.0,0.4898979485566356,3.0,7.08,2.7410946718418905,15.0,12.56,4.3916283995802745,30.0,0.5656666666666667,0.09829371455483638,0.8666666666666667,3.58,2.193991795791406,6.0,6.04,2.199636333578803,12.0,2.88,0.7110555533852471,4.0,0.0,0.0,0.0,10.331238459653239,2.625203533159895,18.463033156227343,4.88,4.062708456190279,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.331238459653239,2.625203533159895,18.463033156227343
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,15,301.96,0.34409301068170506,303.0,11.404932271766551,3.2776891104083963,21.549308247199065,6.96,2.7637655472199514,15.0,0.8,0.8,3.0,0.10600000000000001,0.0826559132790873,0.21,0.12,0.32496153618543844,1.0,0.011600000000000001,0.03318794962030647,0.14,0.0,0.0,0.0,0.0,0.0,0.0,3.84,1.6656530250925612,8.0,0.5492,0.05740522624291276,0.67,2.2,0.4898979485566356,4.0,0.3332,0.057600000000000005,0.4,6.96,2.7637655472199514,15.0,0.4671111111111111,0.1586199744556035,0.8666666666666667,1.96,0.4454211490264018,3.0,6.96,2.7637655472199514,15.0,12.2,4.595650117230423,30.0,0.5757777777777777,0.09811973033738669,0.8666666666666667,3.4,2.4372115213907883,7.0,6.04,2.0489997559785116,12.0,3.08,0.68818602136341,4.0,0.0,0.0,0.0,11.404932271766551,3.2776891104083963,21.549308247199065,5.36,4.389806373862064,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.404932271766551,3.2776891104083963,21.549308247199065
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,16,302.04,0.34409301068170506,303.0,12.283649737307242,3.2447685986707118,21.549308247199065,6.08,1.9579581200832668,15.0,0.6,0.6928203230275509,3.0,0.0876,0.08496022598840001,0.2,0.04,0.19595917942265426,1.0,0.005600000000000001,0.0274342851191716,0.14,0.0,0.0,0.0,0.0,0.0,0.0,3.32,1.0087616170334792,8.0,0.5508,0.0529845260429873,0.67,2.12,0.43081318457076034,4.0,0.35600000000000004,0.03989987468652001,0.4,6.08,1.9579581200832668,15.0,0.4497777777777777,0.12269081887833759,0.7777777777777778,2.0,0.282842712474619,3.0,6.08,1.9579581200832668,15.0,11.0,4.409081537009721,30.0,0.5691111111111111,0.07560178324371476,0.7777777777777778,2.88,2.5972292929196685,7.0,5.44,1.4164744967700618,12.0,3.24,0.7088018058667741,4.0,0.0,0.0,0.0,12.283649737307242,3.2447685986707118,21.549308247199065,4.84,4.433328320799172,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.283649737307242,3.2447685986707118,21.549308247199065
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,17,302.08,0.4833218389437829,303.0,15.556945897537512,6.013027815962822,32.5527477867893,5.36,0.6858571279792899,8.0,0.24,0.4270831300812524,1.0,0.0388,0.06964596183555799,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.2712931993250107,4.0,0.5788,0.04633098315382483,0.67,2.04,0.19595917942265426,3.0,0.3824,0.02970252514517916,0.4,5.36,0.6858571279792899,8.0,0.48444444444444446,0.09752492558885197,0.7777777777777778,2.04,0.19595917942265428,3.0,5.36,0.6858571279792899,8.0,9.12,1.986353442869622,15.0,0.598,0.052929722798778715,0.6666666666666666,1.28,2.306859336847394,7.0,5.12,0.43081318457076034,7.0,3.64,0.6248199740725324,4.0,0.0,0.0,0.0,15.556945897537512,6.013027815962822,32.5527477867893,3.04,2.4079867109267856,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556945897537512,6.013027815962822,32.5527477867893
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,18,302.2,0.4898979485566356,303.0,19.61375142360583,5.461361644327065,32.5527477867893,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.6,0.0,0.6,2.0,0.0,2.0,0.4,5.551115123125783e-17,0.4,5.0,0.0,5.0,0.5,0.0,0.5,2.0,0.0,2.0,5.0,0.0,5.0,8.0,0.0,8.0,0.625,0.0,0.625,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,19.61375142360583,5.461361644327065,32.5527477867893,2.56,2.53108672312902,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61375142360583,5.461361644327065,32.5527477867893
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,19,302.56,0.5713142742834281,304.0,25.099228334083474,5.960584328928634,36.029714575430674,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.6,0.0,0.6,2.0,0.0,2.0,0.4,5.551115123125783e-17,0.4,5.0,0.0,5.0,0.5,0.0,0.5,2.0,0.0,2.0,5.0,0.0,5.0,8.0,0.0,8.0,0.625,0.0,0.625,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,25.099228334083474,5.960584328928634,36.029714575430674,2.04,1.3994284547628724,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.099228334083474,5.960584328928634,36.029714575430674
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,20,303.04,0.44542114902640173,304.0,31.573585528903028,3.5270097234808424,41.400685742563155,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.6,0.0,0.6,2.0,0.0,2.0,0.4,5.551115123125783e-17,0.4,5.0,0.0,5.0,0.5,0.0,0.5,2.0,0.0,2.0,5.0,0.0,5.0,8.0,0.0,8.0,0.625,0.0,0.625,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,31.573585528903028,3.5270097234808424,41.400685742563155,1.72,0.9173875952943773,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31.573585528903028,3.5270097234808424,41.400685742563155
